host,ip,device,used_pct,mount
WMSAPPBOGDIS01_DEV,10.181.11.74,/dev/sda1,77,/boot
WMS_TEST_DB02,10.181.11.116,/dev/mapper/rhel-u03,85,/u03
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/.snapshots
WMSAPPBOGDIS01_N1,10.181.3.65,/dev/sda1,77,/boot
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/8fd635ffc7fb7b447668a450f9704c200595f962ba919fd1c511812b45f0efc7/merged
WMSAPPBOGDIS01_DEV,10.181.11.74,/dev/mapper/rootVG-app,100,/app
WMS_TEST_DB02,10.181.11.116,/dev/mapper/rhel-u01,95,/u01
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/tmp
WMSAPPBOGDIS01_N2,10.181.4.101,/dev/mapper/rhel-home,70,/home
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/772ff1ed1209b58ebabd74fed2e13379fa67d7b6540fffa783629cf76895ef59/merged
WMS_TEST_DB02,10.181.11.116,/dev/mapper/rhel-u07,87,/u07
WMSAPPBOGDIS01_Nodo_1,10.199.3.14,/dev/sda1,77,/boot
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/var/opt
WMSAPPBOGDIS02,10.181.3.168,/dev/sda1,77,/boot
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/50788ab1caa5fdd58e5b325500c55899149c556df63d05cd5ea284be96ddbd8b/merged
WMS_TEST_DB02,10.181.11.116,/dev/mapper/rhel-u02,78,/u02
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/var/tmp
WMSAPPBOGDIS01_Nodo_1,10.199.3.14,/dev/mapper/rootVG-app,100,/app
WMSAPPBOGDIS02,10.181.3.168,/dev/mapper/rootVG-var_cache,70,/var/cache
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/6fef122ba78b13497f5db83772a3263fac207c0395d382d90737e1893499d4d2/merged
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/var/cache
WMSAPPBOGDIS02_DEV,10.181.4.181,/dev/sda1,77,/boot
WMSDBBOGDIS01_DEV,10.181.11.72,/dev/mapper/rhel-u04,99,/u04
SOABOGDIS01,10.181.34.60,/dev/mapper/rootVG-usr,72,/usr
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/1084ed12b49bdc0d18597d8833974c8d8f6df6bd7c0c8ed1373f125033bfb646/merged
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/var/lib/machines
WMSAPPBOGDIS02_DEV,10.181.4.181,/dev/mapper/rootVG-var_cache,96,/var/cache
WMSDBBOGDIS01_DEV,10.181.11.72,/dev/mapper/rhel-u03,77,/u03
SOABOGDIS01,10.181.34.60,/dev/mapper/rootVG-var_mqsi,71,/var/mqsi
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/49f739934af29dd9fabbac8b156750576cd7c15b024580c638a569c83c13298f/merged
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/opt
WMSDBBOGDIS01_DEV,10.181.11.72,/dev/mapper/rhel-u01,100,/u01
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/0a9a1d6e4574a6586ac2d09de50d05f3e9c001fa1c4220dd7f783f8f643fd25d/merged
TESTSOABOGDIS01,10.181.34.62,/dev/mapper/rootVG-usr,71,/usr
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/var/spool
WMSDBBOGDIS01_DEV,10.181.11.72,/dev/mapper/rhel-u07,71,/u07
TESTSOABOGDIS02,10.181.34.63,/dev/mapper/rootVG-usr,71,/usr
MICROCRMBOGDISTEST,10.181.11.150,overlay,74,/var/lib/docker/overlay2/a9961fd423aa9c3d8f2677c3f1278cb4e4b231157c15ded9ca1cc71b756b5e95/merged
TEST_MONGO_NODO1_CLON,10.181.5.204,/dev/mapper/system-root,96,/var/crash
